Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
28.6,32.2,Smile-Iso,0.0
35.1,38.8,Smile-Iso,0.0
43.0,46.3,Smile-Iso,0.0
48.9,52.4,Smile-Iso,0.0
81.8,84.8,Wrinkle-Iso,0.0
88.6,91.8,Wrinkle-Iso,0.0
95.0,98.1,Wrinkle-Iso,0.0
101.2,104.0,Wrinkle-Iso,0.0
142.5,145.0,Eye-Iso,0.0
147.6,150.6,Eye-Iso,0.0
153.8,156.6,Eye-Iso,0.0
160.0,162.9,Eye-Iso,0.0
201.3,203.8,Out-Iso,0.0
207.6,210.7,Out-Iso,0.0
215.8,218.5,Out-Iso,0.0
222.1,224.6,Out-Iso,0.0
258.0,260.9,In-Iso,0.0
263.8,267.2,In-Iso,0.0
269.7,273.0,In-Iso,0.0
275.0,277.8,In-Iso,0.0
317.2,346.6,Chewing,0.6
361.0,392.7,Chewing,0.7
404.6,434.7,Chewing,0.3
449.0,478.6,Chewing,0.3
527.6,537.3,Swallowing,1.0
547.0,557.5,Swallowing,1.3
568.8,577.8,Swallowing,1.4
590.4,600.2,Swallowing,1.5
633.2,638.6,Eye,0.0
641.0,645.7,Eye,0.0
651.2,655.6,Eye,0.0
661.8,666.6,Eye,0.0
704.8,710.2,Jaw,0.0
717.3,723.6,Jaw,0.0
726.4,732.4,Jaw,0.0
736.0,741.4,Jaw,0.0
783.2,786.1,Surprise,0.0
790.0,793.0,Surprise,0.0
796.8,799.8,Surprise,0.0
803.0,805.8,Surprise,0.0
843.6,846.2,Sad,0.0
848.4,851.6,Sad,0.0
854.6,857.6,Sad,0.0
860.4,863.3,Sad,0.0
895.8,899.2,Angry,0.0
900.8,904.8,Angry,0.0
907.4,910.1,Angry,0.0
913.4,916.0,Angry,0.0
952.6,997.5,Up Gaze,0.0
1009.2,1054.0,Up Gaze,0.0
1064.3,1108.8,Up Gaze,0.0
1119.0,1163.5,Up Gaze,0.0
1209.2,1253.9,L Gaze-L,0.0
1264.0,1309.0,L Gaze-L,0.0
1317.4,1362.7,L Gaze-L,0.0
1370.0,1414.3,L Gaze-L,0.0
1451.4,1495.5,L Gaze-R,0.0
1505.0,1549.4,L Gaze-R,0.0
1553.0,1602.6,L Gaze-R,0.0
1610.0,1654.9,L Gaze-R,0.0
1695.0,1724.5,Talk,0.9
1732.0,1760.5,Talk,0.7
1770.4,1798.4,Talk,1.2
1809.6,1837.8,Talk,1.2
