Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
41.4,46.2,Smile-Iso,0.0
50.3,54.0,Smile-Iso,0.0
57.6,61.4,Smile-Iso,0.0
64.6,68.0,Smile-Iso,0.0
101.7,105.0,Wrinkle-Iso,0.0
108.2,111.1,Wrinkle-Iso,0.0
114.8,118.2,Wrinkle-Iso,0.0
120.0,122.8,Wrinkle-Iso,0.0
158.8,159.6,Eye-Iso,0.0
162.0,165.0,Eye-Iso,0.0
167.8,170.8,Eye-Iso,0.0
175.0,177.5,Eye-Iso,0.0
214.9,217.8,Out-Iso,0.0
221.6,224.6,Out-Iso,0.0
228.9,232.8,Out-Iso,0.0
235.0,238.4,Out-Iso,0.0
276.4,279.4,In-Iso,0.0
282.0,285.0,In-Iso,0.0
287.4,290.2,In-Iso,0.0
293.6,296.6,In-Iso,0.0
341.4,370.0,Chewing,0.0
380.6,409.0,Chewing,0.0
424.4,453.5,Chewing,0.0
466.7,496.6,Chewing,0.0
536.4,547.2,Swallowing,0.7
556.8,565.8,Swallowing,0.7
575.2,585.2,Swallowing,1.0
596.6,607.2,Swallowing,1.2
650.0,655.6,Eye,0.0
560.0,564.8,Eye,0.0
669.2,674.5,Eye,0.0
680.3,685.0,Eye,0.0
727.2,733.0,Jaw,0.0
740.0,745.4,Jaw,0.0
748.8,754.0,Jaw,0.0
758.2,764.1,Jaw,0.0
806.0,808.6,Surprise,0.0
811.8,814.8,Surprise,0.0
817.4,820.7,Surprise,0.0
824.8,827.8,Surprise,0.0
867.2,870.2,Sad,0.0
872.9,875.8,Sad,0.0
878.2,881.2,Sad,0.0
885.0,887.8,Sad,0.0
926.2,929.0,Angry,0.0
932.6,935.8,Angry,0.0
938.6,941.6,Angry,0.0
944.2,947.3,Angry,0.0
996.2,1041.4,Up Gaze,0.0
1047.8,1092.5,Up Gaze,0.0
1100.0,1144.2,Up Gaze,0.0
1154.9,1199.6,Up Gaze,0.0
1240.0,1285.0,L Gaze-L,0.0
1292.6,1337.7,L Gaze-L,0.0
1347.4,1392.2,L Gaze-L,0.0
1402.2,1446.5,L Gaze-L,0.0
1483.4,1528.1,L Gaze-R,0.0
1535.0,1579.6,L Gaze-R,0.0
1587.6,1636.6,L Gaze-R,0.0
1639.2,1684.2,L Gaze-R,0.0
1726.0,1754.9,Talk,1.1
1764.8,1792.5,Talk,0.8
1801.8,1831.1,Talk,0.5
1840.6,1869.6,Talk,0.2
