Event Start (s),Event Stop (s),Task Label
60.1,63.0,Smile-Iso
67.0,70.2,Smile-Iso
73.9,76.8,Smile-Iso
81.1,83.6,Smile-Iso
124.4,127.4,Wrinkle-Iso
131.2,134.6,Wrinkle-Iso
137.4,141.0,Wrinkle-Iso
143.4,146.7,Wrinkle-Iso
189.2,192.4,Eye-Iso
195.5,198.6,Eye-Iso
201.3,204.4,Eye-Iso
207.4,210.4,Eye-Iso
263.2,266.2,Out-Iso
270.1,273.6,Out-Iso
277.2,280.0,Out-Iso
283.2,286.6,Out-Iso
333.2,336.4,In-Iso
339.4,343.2,In-Iso
345.0,348.2,In-Iso
351.0,354.2,In-Iso
430.2,460.6,Chewing
471.9,504.6,Chewing
516.9,548.8,Chewing
561.9,593.2,Chewing
642.8,653.8,Swallowing
664.4,676.4,Swallowing
684.7,695.6,Swallowing
703.6,712.8,Swallowing
759.0,764.3,Eye
768.1,773.0,Eye
778.1,783.0,Eye
788.1,792.8,Eye
853.8,859.6,Jaw
862.8,868.0,Jaw
873.5,879.4,Jaw
903.8,912.4,Jaw
934.5,938.2,Surprise
941.2,944.8,Surprise
947.7,951.2,Surprise
954.2,957.4,Surprise
985.4,988.0,Sad
991.0,994.8,Sad
997.4,1000.5,Sad
1003.2,1006.0,Sad
1037.4,1040.5,Angry
1044.1,1047.6,Angry
1050.4,1053.6,Angry
1056.2,1059.0,Angry
1098.0,1142.4,Up Gaze
1152.0,1196.9,Up Gaze
1204.6,1250.7,Up Gaze
1260.8,1305.6,Up Gaze
1347.6,1394.4,L Gaze-L
1402.6,1447.0,L Gaze-L
1457.2,1502.0,L Gaze-L
1511.8,1556.6,L Gaze-L
1605.3,1649.6,L Gaze-R
1659.8,1704.2,L Gaze-R
1714.0,1762.6,L Gaze-R
1768.2,1812.4,L Gaze-R
1849.1,1879.6,Talk
1888.8,1920.0,Talk
1931.0,1961.2,Talk
1967.6,1998.0,Talk
