Event Start (s),Event Stop (s),Task Label
80.4,85.1,Smile-Iso
89.1,91.8,Smile-Iso
96.0,98.8,Smile-Iso
102.4,105.5,Smile-Iso
145.6,149.0,Wrinkle-Iso
151.7,154.4,Wrinkle-Iso
158.8,161.7,Wrinkle-Iso
165.0,168.0,Wrinkle-Iso
211.2,213.8,Eye-Iso
216.7,219.8,Eye-Iso
222.5,225.9,Eye-Iso
228.6,232.0,Eye-Iso
284.8,287.8,Out-Iso
291.6,294.7,Out-Iso
298.7,301.5,Out-Iso
304.6,308.2,Out-Iso
354.9,358.0,In-Iso
361.1,364.2,In-Iso
366.8,369.8,In-Iso
372.7,375.8,In-Iso
450.8,481.4,Chewing
494.5,526.4,Chewing
539.2,571.4,Chewing
584.4,615.2,Chewing
663.8,675.8,Swallowing
686.2,696.4,Swallowing
705.8,716.7,Swallowing
726.0,735.3,Swallowing
779.8,785.1,Eye
788.2,793.2,Eye
797.8,802.6,Eye
809.0,814.0,Eye
862.5,867.8,Jaw
874.4,880.4,Jaw
883.3,889.4,Jaw
893.9,899.6,Jaw
955.1,958.1,Surprise
961.2,965.0,Surprise
968.3,971.2,Surprise
974.2,978.2,Surprise
1004.8,1007.6,Sad
1010.6,1013.3,Sad
1016.0,1018.6,Sad
1023.2,1025.8,Sad
1058.1,1061.6,Angry
1065.0,1068.0,Angry
1071.0,1074.2,Angry
1077.2,1080.0,Angry
1118.4,1163.2,Up Gaze
1071.6,1216.4,Up Gaze
1226.2,1270.9,Up Gaze
1282.5,1327.0,Up Gaze
1369.6,1414.4,L Gaze-L
1424.3,1468.8,L Gaze-L
1479.4,1523.7,L Gaze-L
1533.6,1578.4,L Gaze-L
1627.1,1671.6,L Gaze-R
1681.0,1724.5,L Gaze-R
1734.0,1783.3,L Gaze-R
1786.0,1830.9,L Gaze-R
1887.2,1915.8,Talk
1926.7,1955.4,Talk
1964.6,1992.8,Talk
2005.0,2033.8,Talk
