Event Start (s),Event Stop (s),Task Label
23.8,26.7,Smile-Iso
30.2,33.2,Smile-Iso
37.2,40.2,Smile-Iso
43.7,46.7,Smile-Iso
81.8,84.9,Wrinkle-Iso
87.4,90.4,Wrinkle-Iso
95.0,97.9,Wrinkle-Iso
101.4,104.3,Wrinkle-Iso
151.9,154.9,Eye-Iso
158.3,161.4,Eye-Iso
163.8,166.8,Eye-Iso
169.6,172.5,Eye-Iso
225.0,227.8,Out-Iso
231.4,234.6,Out-Iso
238.4,241.4,Out-Iso
244.8,247.6,Out-Iso
291.4,294.4,In-Iso
297.4,300.4,In-Iso
303.3,306.4,In-Iso
309.2,311.9,In-Iso
345.0,374.6,Chewing
388.2,418.2,Chewing
432.4,463.4,Chewing
478.0,507.4,Chewing
571.7,583.2,Swallowing
593.4,602.7,Swallowing
611.1,620.8,Swallowing
631.3,641.4,Swallowing
686.1,691.4,Eye
694.2,698.8,Eye
705.0,709.8,Eye
714.4,720.0,Eye
786.3,792.8,Jaw
798.7,805.0,Jaw
807.4,813.6,Jaw
818.0,824.0,Jaw
878.2,880.8,Surprise
884.4,888.0,Surprise
891.4,894.6,Surprise
897.4,900.4,Surprise
953.0,956.0,Sad
958.8,961.7,Sad
964.8,968.0,Sad
970.8,973.7,Sad
1021.9,1025.0,Angry
1028.2,1031.2,Angry
1034.2,1037.1,Angry
1040.2,1043.0,Angry
1083.0,1128.0,Up Gaze
1136.6,1181.2,Up Gaze
1192.4,1236.8,Up Gaze
1245.5,1289.2,Up Gaze
1339.2,1384.4,L Gaze-L
1393.2,1438.0,L Gaze-L
1448.0,1493.0,L Gaze-L
1503.0,1548.1,L Gaze-L
1605.0,1648.9,L Gaze-R
1657.3,1701.6,L Gaze-R
1711.8,1760.8,L Gaze-R
1766.0,1811.0,L Gaze-R
1857.2,1885.1,Talk
1896.2,1926.6,Talk
1936.2,1965.5,Talk
1975.4,2003.7,Talk
