Event Start (s),Event Stop (s),Task Label
49.8,52.9,Smile-Iso
56.6,59.8,Smile-Iso
63.6,67.6,Smile-Iso
70.6,73.7,Smile-Iso
100.8,104.8,Wrinkle-Iso
107.8,110.9,Wrinkle-Iso
114.1,117.6,Wrinkle-Iso
119.8,122.8,Wrinkle-Iso
152.0,154.8,Eye-Iso
157.8,160.6,Eye-Iso
163.8,166.6,Eye-Iso
169.6,172.2,Eye-Iso
206.8,209.8,Out-Iso
213.8,216.8,Out-Iso
220.7,222.4,Out-Iso
227.0,230.1,Out-Iso
268.2,272.2,In-Iso
274.4,278.8,In-Iso
280.2,283.0,In-Iso
286.0,288.4,In-Iso
322.6,350.8,Chewing
365.6,394.7,Chewing
409.0,438.0,Chewing
454.0,482.1,Chewing
543.6,544.2,Swallowing
565.4,575.4,Swallowing
583.2,592.8,Swallowing
604.0,614.6,Swallowing
676.9,682.2,Eye
684.8,689.9,Eye
696.7,701.2,Eye
706.6,711.3,Eye
769.2,775.9,Jaw
782.2,788.1,Jaw
791.0,797.7,Jaw
801.8,807.9,Jaw
835.8,838.8,Surprise
842.0,845.9,Surprise
848.8,852.0,Surprise
855.0,858.6,Surprise
897.2,901.0,Sad
902.2,904.9,Sad
908.3,911.2,Sad
914.4,917.4,Sad
953.0,956.0,Angry
959.5,962.8,Angry
965.4,968.4,Angry
971.4,974.5,Angry
1065.4,1095.0,Talk
1105.8,1135.8,Talk
1145.2,1174.2,Talk
1183.8,1212.6,Talk
