Event Start (s),Event Stop (s),Task Label
33.8,38.2,Smile-Iso
41.9,44.8,Smile-Iso
49.0,51.8,Smile-Iso
55.4,58.2,Smile-Iso
102.6,106.0,Wrinkle-Iso
108.8,111.7,Wrinkle-Iso
115.0,118.0,Wrinkle-Iso
120.0,123.0,Wrinkle-Iso
161.4,164.8,Eye-Iso
169.8,173.2,Eye-Iso
176.1,179.2,Eye-Iso
181.6,184.6,Eye-Iso
225.2,228.3,Out-Iso
232.2,235.5,Out-Iso
238.8,242.0,Out-Iso
245.0,248.0,Out-Iso
288.0,291.6,In-Iso
294.4,297.7,In-Iso
300.1,303.4,In-Iso
306.2,309.6,In-Iso
364.4,394.4,Chewing
406.4,437.5,Chewing
450.4,481.2,Chewing
494.3,525.0,Chewing
575.2,585.0,Swallowing
596.0,605.4,Swallowing
615.2,625.9,Swallowing
636.0,646.7,Swallowing
687.8,694.0,Eye
698.6,703.8,Eye
708.3,713.4,Eye
718.4,723.6,Eye
784.6,791.2,Jaw
797.4,803.2,Jaw
806.2,811.9,Jaw
816.6,822.3,Jaw
862.2,865.0,Surprise
868.9,872.0,Surprise
875.7,878.8,Surprise
881.8,885.0,Surprise
932.0,934.8,Sad
936.6,939.4,Sad
944.4,947.6,Sad
950.2,953.2,Sad
986.2,989.2,Angry
992.6,996.0,Angry
998.6,1001.6,Angry
1004.6,1007.6,Angry
1052.0,1096.8,Up Gaze
1106.6,1150.8,Up Gaze
1161.4,1205.8,Up Gaze
1215.7,1260.8,Up Gaze
1308.5,1353.6,L Gaze-L
1363.2,1407.9,L Gaze-L
1419.9,1464.6,L Gaze-L
1472.5,1517.2,L Gaze-L
1556.5,1601.7,L Gaze-R
1610.1,1655.4,L Gaze-R
1665.0,1715.2,L Gaze-R
1721.3,1766.0,L Gaze-R
1804.5,1833.6,Talk
1843.2,1871.7,Talk
1884.0,1913.6,Talk
1924.0,1956.6,Talk
