Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
39.7,41.8,Smile-Iso,0.0
45.1,48.6,Smile-Iso,0.0
51.8,55.0,Smile-Iso,0.0
58.7,62.4,Smile-Iso,0.0
105.0,108.1,Wrinkle-Iso,0.0
112.3,115.0,Wrinkle-Iso,0.0
118.2,120.8,Wrinkle-Iso,0.0
123.8,126.7,Wrinkle-Iso,0.0
166.9,169.5,Eye-Iso,0.0
172.0,175.0,Eye-Iso,0.0
178.6,181.8,Eye-Iso,0.0
184.7,187.3,Eye-Iso,0.0
229.3,231.8,Out-Iso,0.0
235.6,239.4,Out-Iso,0.0
242.5,246.5,Out-Iso,0.0
248.5,252.4,Out-Iso,0.0
289.8,292.7,In-Iso,0.0
295.0,298.0,In-Iso,0.0
301.5,303.2,In-Iso,0.0
305.8,309.4,In-Iso,0.0
363.8,394.6,Chewing,0.7
406.2,439.0,Chewing,1.1
449.8,478.4,Chewing,1.1
492.4,523.8,Chewing,0.7
573.0,583.6,Swallowing,1.2
593.0,602.6,Swallowing,0.9
614.0,624.0,Swallowing,1.3
632.6,642.2,Swallowing,1.1
684.1,689.8,Eye,0.0
692.8,697.6,Eye,0.0
701.8,706.7,Eye,0.0
710.6,715.3,Eye,0.0
777.9,783.4,Jaw,0.0
790.0,796.0,Jaw,0.0
798.9,804.8,Jaw,0.0
808.8,813.5,Jaw,0.0
854.5,857.1,Surprise,0.0
861.0,863.8,Surprise,0.0
866.2,868.9,Surprise,0.0
872.4,875.0,Surprise,0.0
923.8,926.2,Sad,0.0
928.6,931.3,Sad,0.0
935.0,938.0,Sad,0.0
940.8,943.2,Sad,0.0
975.0,977.7,Angry,0.0
982.4,985.0,Angry,0.0
989.0,991.4,Angry,0.0
995.0,997.8,Angry,0.0
1036.7,1082.6,Up Gaze,0.0
1094.6,1138.8,Up Gaze,0.0
1147.6,1192.5,Up Gaze,0.0
1201.0,1242.2,Up Gaze,0.0
1292.0,1336.7,L Gaze-L,0.0
1345.0,1389.7,L Gaze-L,0.0
1399.4,1443.0,L Gaze-L,0.0
1452.8,1496.0,L Gaze-L,0.0
1534.2,1577.6,L Gaze-R,0.0
1586.6,1631.1,L Gaze-R,0.0
1641.4,1689.6,L Gaze-R,0.0
1695.4,1740.1,L Gaze-R,0.0
1816.4,1844.8,Talk,1.2
1855.4,1885.0,Talk,0.5
1893.3,1924.0,Talk,0.4
1934.4,1963.9,Talk,0.4
