Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
36.6,39.8,Smile-Iso,0.0
43.6,47.0,Smile-Iso,0.0
51.0,53.9,Smile-Iso,0.0
57.6,60.6,Smile-Iso,0.0
85.0,88.0,Wrinkle-Iso,0.0
93.0,96.0,Wrinkle-Iso,0.0
98.4,101.3,Wrinkle-Iso,0.0
105.2,108.0,Wrinkle-Iso,0.0
136.0,138.6,Eye-Iso,0.0
142.0,145.0,Eye-Iso,0.0
148.3,151.0,Eye-Iso,0.0
154.2,157.0,Eye-Iso,0.0
180.5,183.5,Out-Iso,0.0
187.4,190.7,Out-Iso,0.0
194.8,197.9,Out-Iso,0.0
201.2,204.5,Out-Iso,0.0
234.8,237.8,In-Iso,0.0
241.4,244.1,In-Iso,0.0
247.0,250.0,In-Iso,0.0
252.0,255.0,In-Iso,0.0
289.4,319.4,Chewing,1.2
332.1,362.6,Chewing,0.6
377.1,407.2,Chewing,0.8
421.8,451.3,Chewing,1.0
495.4,504.0,Swallowing,1.9
517.4,525.4,Swallowing,1.7
535.0,544.2,Swallowing,1.0
556.0,564.6,Swallowing,1.5
604.8,610.0,Eye,0.0
614.4,619.1,Eye,0.0
624.4,629.6,Eye,0.0
634.2,639.0,Eye,0.0
682.8,688.4,Jaw,0.0
694.8,700.6,Jaw,0.0
703.6,709.4,Jaw,0.0
714.6,720.4,Jaw,0.0
756.0,759.8,Surprise,0.0
762.4,765.8,Surprise,0.0
768.8,772.4,Surprise,0.0
775.8,779.8,Surprise,0.0
815.0,818.0,Sad,0.0
821.4,824.5,Sad,0.0
827.4,830.2,Sad,0.0
831.8,835.0,Sad,0.0
871.2,874.0,Angry,0.0
879.3,882.2,Angry,0.0
885.8,888.6,Angry,0.0
923.8,968.7,Up Gaze,0.0
977.5,1022.3,Up Gaze,0.0
1034.0,1078.2,Up Gaze,0.0
1087.3,1131.4,Up Gaze,0.0
1166.8,1211.0,L Gaze-L,0.0
1221.3,1266.2,L Gaze-L,0.0
1310.0,1354.7,L Gaze-R,0.0
1363.0,1407.6,L Gaze-R,0.0
1462.8,1490.0,Talk,1.1
1501.2,1531.3,Talk,0.9
1541.0,1570.2,Talk,0.5
1580.0,1609.0,Talk,0.6
