Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
49.8,52.9,Smile-Iso,0.0
56.6,59.8,Smile-Iso,0.0
63.6,67.6,Smile-Iso,0.0
70.6,73.7,Smile-Iso,0.0
100.8,104.8,Wrinkle-Iso,0.0
107.8,110.9,Wrinkle-Iso,0.0
114.1,117.6,Wrinkle-Iso,0.0
119.8,122.8,Wrinkle-Iso,0.0
152.0,154.8,Eye-Iso,0.0
157.8,160.6,Eye-Iso,0.0
163.8,166.6,Eye-Iso,0.0
169.6,172.2,Eye-Iso,0.0
206.8,209.8,Out-Iso,0.0
213.8,216.8,Out-Iso,0.0
220.7,222.4,Out-Iso,0.0
227.0,230.1,Out-Iso,0.0
268.2,272.2,In-Iso,0.0
274.4,278.8,In-Iso,0.0
280.2,283.0,In-Iso,0.0
286.0,288.4,In-Iso,0.0
322.6,350.8,Chewing,0.0
365.6,394.7,Chewing,0.0
409.0,438.0,Chewing,0.0
454.0,482.1,Chewing,0.0
543.6,544.2,Swallowing,0.0
565.4,575.4,Swallowing,0.0
583.2,592.8,Swallowing,0.0
604.0,614.6,Swallowing,0.0
676.9,682.2,Eye,0.0
684.8,689.9,Eye,0.0
696.7,701.2,Eye,0.0
706.6,711.3,Eye,0.0
769.2,775.9,Jaw,0.0
782.2,788.1,Jaw,0.0
791.0,797.7,Jaw,0.0
801.8,807.9,Jaw,0.0
835.8,838.8,Surprise,0.0
842.0,845.9,Surprise,0.0
848.8,852.0,Surprise,0.0
855.0,858.6,Surprise,0.0
897.2,901.0,Sad,0.0
902.2,904.9,Sad,0.0
908.3,911.2,Sad,0.0
914.4,917.4,Sad,0.0
953.0,956.0,Angry,0.0
959.5,962.8,Angry,0.0
965.4,968.4,Angry,0.0
971.4,974.5,Angry,0.0
1065.4,1095.0,Talk,1.0
1105.8,1135.8,Talk,1.1
1145.2,1174.2,Talk,0.0
1183.8,1212.6,Talk,0.3
