Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
38.2,41.2,Smile-Iso,0.0
44.9,48.0,Smile-Iso,0.0
52.3,55.3,Smile-Iso,0.0
60.0,63.2,Smile-Iso,0.0
90.6,94.6,Wrinkle-Iso,0.0
97.4,100.6,Wrinkle-Iso,0.0
103.4,106.6,Wrinkle-Iso,0.0
109.2,112.2,Wrinkle-Iso,0.0
146.4,149.3,Eye-Iso,0.0
154.0,156.8,Eye-Iso,0.0
160.4,163.2,Eye-Iso,0.0
165.5,168.0,Eye-Iso,0.0
204.4,207.8,Out-Iso,0.0
212.2,215.0,Out-Iso,0.0
218.6,221.6,Out-Iso,0.0
225.4,228.7,Out-Iso,0.0
281.7,285.6,In-Iso,0.0
288.2,291.2,In-Iso,0.0
294.2,297.2,In-Iso,0.0
300.2,303.1,In-Iso,0.0
340.6,371.0,Chewing,0.0
384.2,415.1,Chewing,0.0
429.0,459.6,Chewing,0.0
474.0,504.6,Chewing,0.0
536.8,545.6,Swallowing,0.0
556.1,566.4,Swallowing,0.0
576.6,584.6,Swallowing,0.0
595.5,607.4,Swallowing,0.0
645.0,650.0,Eye,0.0
654.0,659.3,Eye,0.0
667.0,671.6,Eye,0.0
673.4,677.4,Eye,0.0
722.7,729.2,Jaw,0.0
735.0,741.8,Jaw,0.0
744.5,750.6,Jaw,0.0
755.3,761.0,Jaw,0.0
793.1,796.6,Surprise,0.0
799.9,803.2,Surprise,0.0
806.8,810.0,Surprise,0.0
812.8,816.2,Surprise,0.0
849.6,852.0,Sad,0.0
855.0,857.9,Sad,0.0
861.3,864.2,Sad,0.0
867.5,870.1,Sad,0.0
905.8,908.1,Angry,0.0
913.9,916.6,Angry,0.0
919.2,922.4,Angry,0.0
972.2,1017.2,Up Gaze,0.0
1027.2,1072.0,Up Gaze,0.0
1081.8,1125.9,Up Gaze,0.0
1136.2,1179.9,Up Gaze,0.0
1221.2,1265.6,L Gaze-L,0.0
1275.0,1320.0,L Gaze-L,0.0
1330.0,1374.6,L Gaze-L,0.0
1390.0,1427.0,L Gaze-L,0.0
1466.8,1511.3,L Gaze-R,0.0
1522.0,1567.6,L Gaze-R,0.0
1640.0,1669.4,Talk,0.6
1681.0,1711.0,Talk,0.2
1721.6,1750.9,Talk,0.0
1760.8,1789.1,Talk,1.0
