Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
23.8,26.7,Smile-Iso,0.0
30.2,33.2,Smile-Iso,0.0
37.2,40.2,Smile-Iso,0.0
43.7,46.7,Smile-Iso,0.0
81.8,84.9,Wrinkle-Iso,0.0
87.4,90.4,Wrinkle-Iso,0.0
95.0,97.9,Wrinkle-Iso,0.0
101.4,104.3,Wrinkle-Iso,0.0
151.9,154.9,Eye-Iso,0.0
158.3,161.4,Eye-Iso,0.0
163.8,166.8,Eye-Iso,0.0
169.6,172.5,Eye-Iso,0.0
225.0,227.8,Out-Iso,0.0
231.4,234.6,Out-Iso,0.0
238.4,241.4,Out-Iso,0.0
244.8,247.6,Out-Iso,0.0
291.4,294.4,In-Iso,0.0
297.4,300.4,In-Iso,0.0
303.3,306.4,In-Iso,0.0
309.2,311.9,In-Iso,0.0
345.0,374.6,Chewing,1.0
388.2,418.2,Chewing,0.6
432.4,463.4,Chewing,0.4
478.0,507.4,Chewing,0.9
571.7,583.2,Swallowing,0.4
593.4,602.7,Swallowing,1.2
611.1,620.8,Swallowing,0.5
631.3,641.4,Swallowing,1.3
686.1,691.4,Eye,0.0
694.2,698.8,Eye,0.0
705.0,709.8,Eye,0.0
714.4,720.0,Eye,0.0
786.3,792.8,Jaw,0.0
798.7,805.0,Jaw,0.0
807.4,813.6,Jaw,0.0
818.0,824.0,Jaw,0.0
878.2,880.8,Surprise,0.0
884.4,888.0,Surprise,0.0
891.4,894.6,Surprise,0.0
897.4,900.4,Surprise,0.0
953.0,956.0,Sad,0.0
958.8,961.7,Sad,0.0
964.8,968.0,Sad,0.0
970.8,973.7,Sad,0.0
1021.9,1025.0,Angry,0.0
1028.2,1031.2,Angry,0.0
1034.2,1037.1,Angry,0.0
1040.2,1043.0,Angry,0.0
1083.0,1128.0,Up Gaze,0.0
1136.6,1181.2,Up Gaze,0.0
1192.4,1236.8,Up Gaze,0.0
1245.5,1289.2,Up Gaze,0.0
1339.2,1384.4,L Gaze-L,0.0
1393.2,1438.0,L Gaze-L,0.0
1448.0,1493.0,L Gaze-L,0.0
1503.0,1548.1,L Gaze-L,0.0
1605.0,1648.9,L Gaze-R,0.0
1657.3,1701.6,L Gaze-R,0.0
1711.8,1760.8,L Gaze-R,0.0
1766.0,1811.0,L Gaze-R,0.0
1857.2,1885.1,Talk,1.5
1896.2,1926.6,Talk,1.7
1936.2,1965.5,Talk,1.3
1975.4,2003.7,Talk,1.1
