Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
28.9,32.0,Smile-Iso,0.0
36.1,39.0,Smile-Iso,0.0
42.7,45.8,Smile-Iso,0.0
49.6,52.6,Smile-Iso,0.0
99.0,101.8,Wrinkle-Iso,0.0
106.0,109.1,Wrinkle-Iso,0.0
112.1,115.6,Wrinkle-Iso,0.0
118.2,121.6,Wrinkle-Iso,0.0
171.4,174.3,Eye-Iso,0.0
178.1,181.0,Eye-Iso,0.0
183.1,186.0,Eye-Iso,0.0
189.4,192.4,Eye-Iso,0.0
247.4,251.0,Out-Iso,0.0
254.8,258.1,Out-Iso,0.0
261.3,264.4,Out-Iso,0.0
267.4,270.8,Out-Iso,0.0
334.0,337.2,In-Iso,0.0
339.6,342.6,In-Iso,0.0
345.5,348.4,In-Iso,0.0
351.4,354.3,In-Iso,0.0
403.0,432.2,Chewing,1.0
446.6,475.4,Chewing,1.3
490.8,520.0,Chewing,1.1
534.8,563.0,Chewing,0.7
626.1,640.0,Swallowing,1.4
646.5,659.0,Swallowing,1.6
667.0,679.8,Swallowing,0.6
686.0,698.8,Swallowing,1.3
764.0,769.5,Eye,0.0
773.0,778.4,Eye,0.0
783.2,787.9,Eye,0.0
793.2,798.1,Eye,0.0
871.4,877.4,Jaw,0.0
884.1,890.0,Jaw,0.0
892.8,898.8,Jaw,0.0
904.0,909.9,Jaw,0.0
973.2,976.0,Surprise,0.0
979.8,982.7,Surprise,0.0
986.4,989.5,Surprise,0.0
992.6,995.4,Surprise,0.0
1064.4,1067.2,Sad,0.0
1069.5,1072.9,Sad,0.0
1075.8,1079.0,Sad,0.0
1081.8,1084.7,Sad,0.0
1139.0,1141.7,Angry,0.0
1144.8,1147.8,Angry,0.0
1150.8,1154.0,Angry,0.0
1156.5,1159.5,Angry,0.0
1239.0,1283.9,Up Gaze,0.0
1291.8,1336.6,Up Gaze,0.0
1348.4,1393.3,Up Gaze,0.0
1404.4,1449.3,Up Gaze,0.0
1521.0,1565.8,L Gaze-L,0.0
1575.4,1620.4,L Gaze-L,0.0
1630.4,1675.2,L Gaze-L,0.0
1685.2,1729.9,L Gaze-L,0.0
1797.8,1842.2,L Gaze-R,0.0
1852.2,1897.0,L Gaze-R,0.0
1906.8,1956.2,L Gaze-R,0.0
1961.6,2006.5,L Gaze-R,0.0
2069.4,2098.8,Talk,0.9
