Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
65.8,69.0,Smile-Iso,0.0
72.8,75.8,Smile-Iso,0.0
79.8,83.0,Smile-Iso,0.0
87.6,90.8,Smile-Iso,0.0
124.6,128.0,Wrinkle-Iso,0.0
131.5,134.4,Wrinkle-Iso,0.0
137.8,140.6,Wrinkle-Iso,0.0
142.6,145.6,Wrinkle-Iso,0.0
182.8,185.6,Eye-Iso,0.0
187.6,190.6,Eye-Iso,0.0
194.0,196.7,Eye-Iso,0.0
200.2,203.0,Eye-Iso,0.0
243.2,246.4,Out-Iso,0.0
250.1,253.4,Out-Iso,0.0
257.3,260.0,Out-Iso,0.0
263.2,266.9,Out-Iso,0.0
300.5,303.4,In-Iso,0.0
307.0,310.0,In-Iso,0.0
312.8,315.8,In-Iso,0.0
318.8,322.0,In-Iso,0.0
354.6,384.8,Chewing,0.0
398.2,428.7,Chewing,0.5
442.2,467.4,Chewing,0.4
480.2,511.2,Chewing,0.7
598.6,630.2,Chewing,0.5
685.8,696.5,Swallowing,0.8
707.4,718.0,Swallowing,0.9
727.3,737.1,Swallowing,0.8
748.5,759.4,Swallowing,0.7
795.6,800.6,Eye,0.0
806.6,811.4,Eye,0.0
816.4,821.1,Eye,0.0
826.8,831.5,Eye,0.0
876.3,882.6,Jaw,0.0
889.1,895.2,Jaw,0.0
898.2,904.2,Jaw,0.0
909.0,915.0,Jaw,0.0
955.0,958.0,Surprise,0.0
961.8,965.2,Surprise,0.0
968.6,972.0,Surprise,0.0
974.6,978.0,Surprise,0.0
1018.0,1020.7,Sad,0.0
1025.3,1028.2,Sad,0.0
1031.4,1034.2,Sad,0.0
1037.4,1040.0,Sad,0.0
1077.2,1080.0,Angry,0.0
1083.8,1086.6,Angry,0.0
1089.6,1092.6,Angry,0.0
1095.6,1098.6,Angry,0.0
1145.9,1191.0,Up Gaze,0.0
1200.7,1245.2,Up Gaze,0.0
1255.0,1299.2,Up Gaze,0.0
1311.1,1356.4,Up Gaze,0.0
1400.2,1444.1,L Gaze-L,0.0
1454.2,1498.7,L Gaze-L,0.0
1507.9,1553.6,L Gaze-L,0.0
1563.4,1608.2,L Gaze-L,0.0
1649.8,1694.4,L Gaze-R,0.0
1705.7,1749.4,L Gaze-R,0.0
1759.6,1809.0,L Gaze-R,0.0
1814.3,1859.2,L Gaze-R,0.0
1901.1,1930.5,Talk,0.7
1941.8,1971.4,Talk,0.7
1981.0,2010.2,Talk,0.6
2021.0,2051.2,Talk,0.7
