Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
63.4,66.3,Smile-Iso,0.0
70.2,73.2,Smile-Iso,0.0
77.1,80.4,Smile-Iso,0.0
84.0,87.4,Smile-Iso,0.0
119.8,122.8,Wrinkle-Iso,0.0
126.4,129.4,Wrinkle-Iso,0.0
132.3,135.4,Wrinkle-Iso,0.0
138.0,141.2,Wrinkle-Iso,0.0
168.5,171.7,Eye-Iso,0.0
174.6,177.8,Eye-Iso,0.0
180.6,183.8,Eye-Iso,0.0
187.0,189.7,Eye-Iso,0.0
230.0,233.4,Out-Iso,0.0
237.1,240.4,Out-Iso,0.0
244.3,247.6,Out-Iso,0.0
250.2,253.3,Out-Iso,0.0
291.4,294.4,In-Iso,0.0
297.5,300.4,In-Iso,0.0
303.6,306.6,In-Iso,0.0
309.6,312.4,In-Iso,0.0
342.8,371.4,Chewing,0.7
385.2,415.3,Chewing,0.4
429.0,459.8,Chewing,0.5
471.8,502.6,Chewing,0.3
636.0,648.2,Swallowing,0.0
658.4,666.7,Swallowing,3.5
675.9,686.6,Swallowing,1.4
695.6,706.2,Swallowing,1.3
747.3,752.1,Eye,0.0
756.8,761.5,Eye,0.0
766.2,771.0,Eye,0.0
776.0,780.8,Eye,0.0
824.0,830.2,Jaw,0.0
836.6,842.6,Jaw,0.0
845.4,851.6,Jaw,0.0
856.0,861.9,Jaw,0.0
894.2,897.3,Surprise,0.0
900.7,903.9,Surprise,0.0
907.6,911.2,Surprise,0.0
914.1,917.1,Surprise,0.0
943.6,946.6,Sad,0.0
949.4,952.6,Sad,0.0
955.2,958.3,Sad,0.0
961.2,964.2,Sad,0.0
993.8,997.0,Angry,0.0
1001.1,1005.0,Angry,0.0
1007.6,1010.6,Angry,0.0
1013.0,1016.0,Angry,0.0
1051.8,1095.0,Up Gaze,0.0
1106.2,1150.8,Up Gaze,0.0
1157.6,1201.8,Up Gaze,0.0
1212.7,1257.4,Up Gaze,0.0
1306.5,1350.8,L Gaze-L,0.0
1362.2,1404.0,L Gaze-L,0.0
1413.8,1457.1,L Gaze-L,0.0
1467.2,1510.6,L Gaze-L,0.0
1551.2,1599.0,L Gaze-R,0.0
1610.0,1654.4,L Gaze-R,0.0
1663.4,1714.4,L Gaze-R,0.0
1717.8,1762.3,L Gaze-R,0.0
1806.8,1835.8,Talk,1.0
1845.1,1875.0,Talk,0.6
1885.0,1922.4,Talk,0.3
1931.0,1960.6,Talk,0.3
