Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
31.3,34.6,Smile-Iso,0.0
37.8,41.0,Smile-Iso,0.0
44.7,47.6,Smile-Iso,0.0
51.2,54.4,Smile-Iso,0.0
81.6,84.6,Wrinkle-Iso,0.0
88.6,91.8,Wrinkle-Iso,0.0
93.5,96.4,Wrinkle-Iso,0.0
99.6,102.4,Wrinkle-Iso,0.0
130.0,133.2,Eye-Iso,0.0
136.0,139.0,Eye-Iso,0.0
142.1,145.2,Eye-Iso,0.0
147.8,150.8,Eye-Iso,0.0
182.0,184.7,Out-Iso,0.0
189.4,192.6,Out-Iso,0.0
196.2,199.3,Out-Iso,0.0
202.4,205.6,Out-Iso,0.0
239.8,242.8,In-Iso,0.0
246.0,248.4,In-Iso,0.0
250.8,253.8,In-Iso,0.0
257.6,260.7,In-Iso,0.0
292.8,322.8,Chewing,0.0
335.3,365.2,Chewing,0.0
379.1,410.0,Chewing,0.0
423.2,453.6,Chewing,0.0
495.0,505.4,Swallowing,0.0
518.0,527.3,Swallowing,0.9
536.2,545.0,Swallowing,0.6
556.4,566.2,Swallowing,0.6
600.0,605.2,Eye,0.0
609.4,614.2,Eye,0.0
619.2,623.4,Eye,0.0
628.8,633.7,Eye,0.0
678.8,685.2,Jaw,0.0
691.6,698.0,Jaw,0.0
700.7,706.8,Jaw,0.0
711.4,717.2,Jaw,0.0
762.6,765.6,Surprise,0.0
769.5,772.6,Surprise,0.0
776.5,779.6,Surprise,0.0
782.6,785.6,Surprise,0.0
816.8,819.8,Sad,0.0
822.5,825.6,Sad,0.0
827.4,830.4,Sad,0.0
834.0,836.8,Sad,0.0
873.8,876.7,Angry,0.0
880.3,883.2,Angry,0.0
886.0,889.0,Angry,0.0
892.0,895.0,Angry,0.0
930.4,975.4,Up Gaze,0.0
985.4,1030.0,Up Gaze,0.0
1040.5,1084.8,Up Gaze,0.0
1094.8,1140.2,Up Gaze,0.0
1175.8,1222.2,L Gaze-L,0.0
1232.6,1275.8,L Gaze-L,0.0
1286.0,1329.5,L Gaze-L,0.0
1340.9,1385.4,L Gaze-L,0.0
1427.4,1471.2,L Gaze-R,0.0
1481.9,1526.6,L Gaze-R,0.0
1535.8,1586.0,L Gaze-R,0.0
1591.6,1636.6,L Gaze-R,0.0
1671.2,1700.4,Talk,0.6
1711.0,1740.9,Talk,0.2
1751.2,1781.2,Talk,0.2
1791.6,1822.4,Talk,0.4
