Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
53.6,57.0,Smile-Iso,0.0
60.4,63.4,Smile-Iso,0.0
67.4,70.6,Smile-Iso,0.0
74.3,77.4,Smile-Iso,0.0
113.5,116.2,Wrinkle-Iso,0.0
121.0,124.0,Wrinkle-Iso,0.0
125.0,128.0,Wrinkle-Iso,0.0
132.0,135.0,Wrinkle-Iso,0.0
175.0,179.9,Eye-Iso,0.0
181.9,185.0,Eye-Iso,0.0
186.6,189.5,Eye-Iso,0.0
191.2,194.2,Eye-Iso,0.0
236.8,239.6,Out-Iso,0.0
241.0,244.4,Out-Iso,0.0
250.0,253.0,Out-Iso,0.0
256.2,259.8,Out-Iso,0.0
303.4,306.7,In-Iso,0.0
308.5,311.4,In-Iso,0.0
315.6,318.6,In-Iso,0.0
320.8,324.2,In-Iso,0.0
364.0,393.8,Chewing,1.0
407.2,436.8,Chewing,0.0
453.7,485.0,Chewing,0.8
496.8,528.0,Chewing,1.2
585.0,595.6,Swallowing,0.8
604.9,615.0,Swallowing,2.7
624.8,635.0,Swallowing,1.0
644.6,654.8,Swallowing,0.5
700.0,705.0,Eye,0.0
711.0,714.7,Eye,0.0
720.0,724.7,Eye,0.0
729.6,734.6,Eye,0.0
785.7,792.2,Jaw,0.0
798.6,804.0,Jaw,0.0
807.7,813.8,Jaw,0.0
818.5,824.0,Jaw,0.0
869.2,871.9,Surprise,0.0
875.8,878.9,Surprise,0.0
882.6,885.9,Surprise,0.0
889.1,891.6,Surprise,0.0
926.5,929.4,Sad,0.0
933.8,936.5,Sad,0.0
939.5,942.4,Sad,0.0
945.0,947.9,Sad,0.0
983.0,986.7,Angry,0.0
989.9,992.9,Angry,0.0
995.0,997.6,Angry,0.0
1001.8,1004.6,Angry,0.0
1043.6,1088.6,Up Gaze,0.0
1099.0,1143.6,Up Gaze,0.0
1153.2,1198.0,Up Gaze,0.0
1207.4,1252.5,Up Gaze,0.0
1291.4,1336.1,L Gaze-L,0.0
1346.0,1390.2,L Gaze-L,0.0
1399.6,1445.5,L Gaze-L,0.0
1455.9,1500.9,L Gaze-L,0.0
1541.1,1585.8,L Gaze-R,0.0
1595.8,1639.1,L Gaze-R,0.0
1650.4,1700.6,L Gaze-R,0.0
1705.2,1750.0,L Gaze-R,0.0
1789.0,1817.7,Talk,0.7
1829.1,1859.6,Talk,1.1
1868.0,1897.1,Talk,1.1
1907.4,1936.4,Talk,0.8
