Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
23.8,27.0,Smile-Iso,0.0
30.9,33.9,Smile-Iso,0.0
37.8,40.7,Smile-Iso,0.0
45.2,48.2,Smile-Iso,0.0
74.6,77.6,Wrinkle-Iso,0.0
81.4,84.4,Wrinkle-Iso,0.0
87.2,90.1,Wrinkle-Iso,0.0
93.4,96.4,Wrinkle-Iso,0.0
152.5,155.4,Eye-Iso,0.0
157.4,160.6,Eye-Iso,0.0
164.6,167.7,Eye-Iso,0.0
170.6,173.3,Eye-Iso,0.0
217.4,220.9,Out-Iso,0.0
223.8,227.4,Out-Iso,0.0
230.0,233.0,Out-Iso,0.0
236.9,240.0,Out-Iso,0.0
280.0,283.0,In-Iso,0.0
286.2,289.2,In-Iso,0.0
292.0,295.0,In-Iso,0.0
297.8,300.8,In-Iso,0.0
342.2,372.0,Chewing,1.3
384.0,415.6,Chewing,0.0
429.8,460.4,Chewing,0.0
475.2,504.2,Chewing,0.0
551.2,560.6,Swallowing,2.2
572.8,579.5,Swallowing,3.1
592.0,601.1,Swallowing,1.4
613.0,620.5,Swallowing,2.1
662.0,667.8,Eye,0.0
671.2,676.3,Eye,0.0
680.6,686.2,Eye,0.0
690.0,694.7,Eye,0.0
742.3,748.6,Jaw,0.0
755.0,761.2,Jaw,0.0
763.8,769.8,Jaw,0.0
774.7,780.4,Jaw,0.0
819.4,822.4,Surprise,0.0
825.8,828.4,Surprise,0.0
832.5,835.4,Surprise,0.0
838.8,842.1,Surprise,0.0
878.4,881.0,Sad,0.0
885.3,888.4,Sad,0.0
892.0,894.8,Sad,0.0
900.3,902.8,Sad,0.0
940.5,943.4,Angry,0.0
948.0,950.9,Angry,0.0
953.5,956.1,Angry,0.0
958.5,961.4,Angry,0.0
1008.7,1053.7,Up Gaze,0.0
1063.8,1108.6,Up Gaze,0.0
1118.2,1163.4,Up Gaze,0.0
1173.7,1218.2,Up Gaze,0.0
1257.2,1302.1,L Gaze-L,0.0
1312.0,1356.6,L Gaze-L,0.0
1365.6,1413.0,L Gaze-L,0.0
1421.4,1467.0,L Gaze-L,0.0
1505.3,1550.2,L Gaze-R,0.0
1559.9,1605.0,L Gaze-R,0.0
1614.8,1663.9,L Gaze-R,0.0
1670.5,1714.8,L Gaze-R,0.0
1756.9,1786.6,Talk,0.6
1796.8,1825.7,Talk,0.8
1836.0,1865.0,Talk,0.5
1877.4,1907.6,Talk,0.8
