Event Start (s),Event Stop (s),Task Label,Perceptible Onset Time
80.4,85.1,Smile-Iso,0.0
89.1,91.8,Smile-Iso,0.0
96.0,98.8,Smile-Iso,0.0
102.4,105.5,Smile-Iso,0.0
145.6,149.0,Wrinkle-Iso,0.0
151.7,154.4,Wrinkle-Iso,0.0
158.8,161.7,Wrinkle-Iso,0.0
165.0,168.0,Wrinkle-Iso,0.0
211.2,213.8,Eye-Iso,0.0
216.7,219.8,Eye-Iso,0.0
222.5,225.9,Eye-Iso,0.0
228.6,232.0,Eye-Iso,0.0
284.8,287.8,Out-Iso,0.0
291.6,294.7,Out-Iso,0.0
298.7,301.5,Out-Iso,0.0
304.6,308.2,Out-Iso,0.0
354.9,358.0,In-Iso,0.0
361.1,364.2,In-Iso,0.0
366.8,369.8,In-Iso,0.0
372.7,375.8,In-Iso,0.0
450.8,481.4,Chewing,0.1
494.5,526.4,Chewing,0.0
539.2,571.4,Chewing,0.3
584.4,615.2,Chewing,0.0
663.8,675.8,Swallowing,0.0
686.2,696.4,Swallowing,1.8
705.8,716.7,Swallowing,1.0
726.0,735.3,Swallowing,1.9
779.8,785.1,Eye,0.0
788.2,793.2,Eye,0.0
797.8,802.6,Eye,0.0
809.0,814.0,Eye,0.0
862.5,867.8,Jaw,0.0
874.4,880.4,Jaw,0.0
883.3,889.4,Jaw,0.0
893.9,899.6,Jaw,0.0
955.1,958.1,Surprise,0.0
961.2,965.0,Surprise,0.0
968.3,971.2,Surprise,0.0
974.2,978.2,Surprise,0.0
1004.8,1007.6,Sad,0.0
1010.6,1013.3,Sad,0.0
1016.0,1018.6,Sad,0.0
1023.2,1025.8,Sad,0.0
1058.1,1061.6,Angry,0.0
1065.0,1068.0,Angry,0.0
1071.0,1074.2,Angry,0.0
1077.2,1080.0,Angry,0.0
1118.4,1163.2,Up Gaze,0.0
1071.6,1216.4,Up Gaze,0.0
1226.2,1270.9,Up Gaze,0.0
1282.5,1327.0,Up Gaze,0.0
1369.6,1414.4,L Gaze-L,0.0
1424.3,1468.8,L Gaze-L,0.0
1479.4,1523.7,L Gaze-L,0.0
1533.6,1578.4,L Gaze-L,0.0
1627.1,1671.6,L Gaze-R,0.0
1681.0,1724.5,L Gaze-R,0.0
1734.0,1783.3,L Gaze-R,0.0
1786.0,1830.9,L Gaze-R,0.0
1887.2,1915.8,Talk,1.3
1926.7,1955.4,Talk,0.5
1964.6,1992.8,Talk,1.1
2005.0,2033.8,Talk,0.2
